question_id,phase,tier,task_group,question_number,question_stem,option_a,option_b,option_c,option_d,correct_answer,answer_explanation,distractor_note,discrimination_point
CPMAI-P1-20250226-8234,Phase I - Business Understanding,1,AI Go/No-Go,11,Which three feasibility assessments are required in the AI Go/No-Go task?,"Technical, Operational, and Financial","Business, Data, and Execution","Resource, Schedule, and Budget","Model, Data, and Infrastructure",B,"The AI Go/No-Go task explicitly requires Business Feasibility, Data Feasibility, and Execution Feasibility assessments.","Technical, Operational, and Financial is tempting because these are common project feasibility dimensions, but CPMAI specifies the three listed in the framework.",
CPMAI-P1-20250226-9456,Phase I - Business Understanding,2,Determine Business Objectives,12,"A retail company wants to use AI to reduce inventory waste. The project team defines success as ""fewer write-offs"" but cannot quantify the target. According to CPMAI, what is the primary issue with this approach?",The team skipped Cost-Benefit Analysis,The team has not defined measurable Business Success Criteria,The team should have started with Cognitive Project Requirements,The team needs to complete Assess Situation first,B,"Determine Business Success Criteria requires specific, measurable targets. ""Fewer write-offs"" is not measurable without a baseline and target percentage or value.","The team skipped Cost-Benefit Analysis is tempting because cost-benefit is important, but the immediate gap is the lack of measurable success criteria to inform that analysis.",
CPMAI-P1-20250226-2671,Phase I - Business Understanding,1,AI System Performance and Operation,13,"According to the framework, what is the purpose of defining Acceptable Model Performance Values during Phase I?",To set technical accuracy thresholds that the model must meet during evaluation,To determine which algorithm to use in Phase IV,To establish data quality requirements for Phase II,To calculate the ROI of the AI investment,A,"Acceptable Model Performance Values define the technical thresholds (accuracy, precision, recall, etc.) that the model must achieve, linking Phase I business goals to Phase V evaluation.","To determine which algorithm to use in Phase IV is tempting because performance relates to algorithm choice, but the purpose is setting evaluation thresholds, not selecting techniques.",
CPMAI-P1-20250226-1539,Phase I - Business Understanding,2,Trustworthy AI Requirements,14,A team building a hiring assistant AI has documented compliance with equal opportunity laws and defined how the model's decisions will be explained to candidates. A compliance officer asks how the team will ensure candidates know they are interacting with an AI. Which Trustworthy AI requirement addresses this?,Required AI Transparency Considerations,Required AI Explainability Considerations,Required Ethical AI Considerations,AI Failure Modes,A,Required AI Transparency Considerations addresses disclosure that an AI system is being used and openness about system capabilities and limitations.,"Required AI Explainability Considerations is tempting because it relates to explaining decisions, but transparency specifically covers disclosure of AI presence and system boundaries.",
CPMAI-P1-20250226-6782,Phase I - Business Understanding,3,AI Go/No-Go,15,"A project passes Business Feasibility and Execution Feasibility. Data Feasibility is marginal - the available data has significant gaps but could potentially be augmented. The sponsor wants to proceed to Phase II to ""explore data options."" What does CPMAI indicate?",Proceed - Phase II is exactly where data exploration occurs,No-Go - Data Feasibility must pass before leaving Phase I,Proceed with a conditional approval and data quality checkpoint,Return to Determine Business Objectives to scope down the project,B,The AI Go/No-Go gate requires all three feasibility assessments to pass before exiting Phase I. Marginal data feasibility constitutes a failure of Data Feasibility.,"Proceed - Phase II is exactly where data exploration occurs is the trap answer - while Phase II does explore data, the Go/No-Go gate must be passed to enter Phase II, and it requires feasibility confirmation, not exploration commitment.","The distinction is that Data Feasibility in Phase I asks ""can we get sufficient data?"" while Phase II Data Understanding asks ""what exactly is in the data we have?"" - feasibility must be confirmed before exploration begins."
CPMAI-P1-20250226-3348,Phase I - Business Understanding,1,Cognitive Project Requirements,16,"Which task group in Phase I is specifically responsible for identifying whether the AI solution requires perception, reasoning, or natural language capabilities?",Determine Business Objectives,Assess Situation,Cognitive Project Requirements,Trustworthy AI Requirements,C,"Cognitive Project Requirements contains AI Pattern Identification, which identifies the specific cognitive capabilities the AI solution requires.","Determine Business Objectives is tempting because objectives inform requirements, but the specific identification of cognitive capability types belongs to Cognitive Project Requirements.",
CPMAI-P1-20250226-9921,Phase I - Business Understanding,2,Assess Situation,17,A project team has identified that they need access to a specialized external dataset and that the project must deliver results before the annual shareholder meeting. Which two Assess Situation tasks are being performed?,Determine Business Objectives and Cost-Benefit Analysis,Resource Requirements and Schedule Requirements,Data Feasibility and Business Feasibility,AI Pattern Identification and Cognitive Requirements,B,"Resource Requirements covers needs like specialized data access, and Schedule Requirements covers timeline constraints like the shareholder meeting deadline.","Data Feasibility and Business Feasibility is tempting because these are feasibility types, but the scenario describes resource needs and timeline, which belong to Assess Situation tasks.",
CPMAI-P1-20250226-4087,Phase I - Business Understanding,1,Trustworthy AI Requirements,18,"According to the framework, which Trustworthy AI task ensures the project has identified relevant laws and regulations that apply to the AI system?",Required Ethical AI Considerations,Required AI Transparency Considerations,Required Compliance With Regulations and Laws,AI Failure Modes,C,Required Compliance With Regulations and Laws is the specific task addressing legal and regulatory requirements for the AI system.,"Required Ethical AI Considerations is tempting because ethics and compliance are related, but they are separate tasks addressing different concerns.",
CPMAI-P1-20250226-5753,Phase I - Business Understanding,2,Determine Business Objectives,19,"A manufacturing company wants to implement predictive maintenance. The team documents that the objective is to ""reduce unplanned downtime."" During review, a stakeholder asks how much reduction is enough and how it will be measured. Which Determine Business Objectives subtask is missing?",Determine Business Objectives,Cost-Benefit Analysis,Determine Business Success Criteria,Business Feasibility,C,Determine Business Success Criteria establishes the specific metrics and targets that define whether the business objective has been achieved.,"Determine Business Objectives is tempting because it sounds like the same thing, but the task group contains separate subtasks: setting the objective and defining how success is measured.",
CPMAI-P1-20250226-6681,Phase I - Business Understanding,3,AI System Performance and Operation,20,"A project team has defined Acceptable Model Performance Values at 95% accuracy. They have not defined Acceptable KPI Performance Values, arguing that KPIs will be addressed in Phase V during KPI Measurement. According to CPMAI, is this approach correct?","Yes - KPIs are measured in Phase V, so defining them in Phase I is premature",No - both model performance and KPI performance values must be defined in Phase I,Yes - model performance values are the only performance definition needed in Phase I,No - KPI values should be defined in Phase II during Data Understanding,B,AI System Performance and Operation requires defining both Acceptable Model Performance Values and Acceptable KPI Performance Values during Phase I to link technical and business success criteria from the start.,"Yes - KPIs are measured in Phase V, so defining them in Phase I is premature is the trap - while KPI Measurement occurs in Phase V, the target values for those KPIs must be established in Phase I to guide the entire project.","The distinction is between setting performance targets (Phase I) and measuring actual performance against those targets (Phase V) - both are required, and they occur in different phases."
